epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1463.81,0.01547,1.65185,1.32817,0.72134,0.91266,0.90755,0.67847,0.01235,1.07833,1.06411,0.00191546,0.00191546,0.00191546
55,1490.61,0.0154,1.62799,1.33051,0.73348,0.8701,0.90128,0.70103,0.01087,1.04215,1.02043,0.00191229,0.00191229,0.00191229
56,1517.55,0.01601,1.64914,1.35379,0.67236,0.92577,0.88369,0.70068,0.01066,1.09374,1.00585,0.00190906,0.00190906,0.00190906
57,1544.23,0.01609,1.66766,1.36082,0.7394,0.91546,0.91832,0.73466,0.01034,1.01288,1.00597,0.00190578,0.00190578,0.00190578
58,1571.12,0.01515,1.61397,1.31695,0.66334,0.97909,0.88534,0.68727,0.01161,1.07481,1.05136,0.00190244,0.00190244,0.00190244
59,1597.83,0.01516,1.59541,1.31457,0.73326,0.88987,0.91131,0.71899,0.01102,1.03353,1.00675,0.00189905,0.00189905,0.00189905
60,1624.64,0.01517,1.61967,1.31715,0.74842,0.89555,0.91861,0.73798,0.01018,0.99726,0.99682,0.0018956,0.0018956,0.0018956
61,1651.53,0.01541,1.6422,1.33042,0.72515,0.91959,0.91255,0.65078,0.01437,1.05211,1.15064,0.0018921,0.0018921,0.0018921
62,1678.28,0.01573,1.68583,1.32395,0.70873,0.9482,0.90846,0.73349,0.01055,0.99401,1.00865,0.00188854,0.00188854,0.00188854
63,1705.08,0.01514,1.59121,1.31287,0.6878,0.98117,0.91025,0.68941,0.01224,1.03885,1.06104,0.00188493,0.00188493,0.00188493
64,1731.97,0.01518,1.59766,1.30982,0.74861,0.89485,0.92313,0.7069,0.01195,1.04454,1.04325,0.00188126,0.00188126,0.00188126
65,1758.85,0.01506,1.59018,1.29514,0.78675,0.87477,0.92949,0.75175,0.00974,0.95307,0.98191,0.00187754,0.00187754,0.00187754
66,1785.71,0.01483,1.56235,1.28906,0.75679,0.93814,0.92549,0.70009,0.01148,1.0063,1.03847,0.00187377,0.00187377,0.00187377
67,1812.52,0.01504,1.5715,1.30652,0.74928,0.93661,0.9293,0.68298,0.01381,1.02953,1.15482,0.00186995,0.00186995,0.00186995
68,1839.27,0.01496,1.63451,1.30341,0.73144,0.90309,0.8948,0.69651,0.01145,1.0769,1.02281,0.00186607,0.00186607,0.00186607
69,1866.14,0.01504,1.59086,1.30362,0.75311,0.92577,0.92406,0.71472,0.01181,1.00128,1.03329,0.00186213,0.00186213,0.00186213
70,1892.91,0.01472,1.52981,1.29154,0.74871,0.91959,0.92809,0.74906,0.00956,0.94198,0.97107,0.00185815,0.00185815,0.00185815
71,1919.66,0.01475,1.52351,1.29254,0.76518,0.90029,0.9266,0.70552,0.01268,0.98617,1.05618,0.00185411,0.00185411,0.00185411
72,1946.45,0.01455,1.52328,1.27837,0.74291,0.94735,0.9247,0.71808,0.01169,0.97751,1.03848,0.00185003,0.00185003,0.00185003
73,1973.19,0.01433,1.50414,1.27682,0.74181,0.91753,0.9151,0.69258,0.0125,1.02861,1.04617,0.00184588,0.00184588,0.00184588
74,1999.98,0.01451,1.54064,1.27503,0.76292,0.92784,0.93098,0.71144,0.01166,0.95816,1.0735,0.00184169,0.00184169,0.00184169
75,2026.79,0.01447,1.51433,1.28029,0.8157,0.89431,0.94193,0.72326,0.01215,0.97036,1.04781,0.00183745,0.00183745,0.00183745
76,2053.54,0.01451,1.48626,1.27276,0.78288,0.94417,0.94712,0.73826,0.01101,0.97144,1.01443,0.00183315,0.00183315,0.00183315
77,2080.29,0.01431,1.44723,1.26798,0.75671,0.92349,0.92943,0.72532,0.01162,0.95984,1.03334,0.00182881,0.00182881,0.00182881
78,2107.01,0.01473,1.51472,1.29049,0.75115,0.92165,0.92799,0.69176,0.0133,0.97669,1.09823,0.00182441,0.00182441,0.00182441
79,2133.81,0.01422,1.4801,1.25946,0.7977,0.91869,0.94344,0.74481,0.01165,0.93635,1.02886,0.00181997,0.00181997,0.00181997
80,2160.64,0.01431,1.50032,1.27037,0.72842,0.96228,0.92086,0.74205,0.01068,0.93713,0.99569,0.00181547,0.00181547,0.00181547
81,2187.48,0.01391,1.43881,1.25367,0.73972,0.96701,0.93272,0.71157,0.01209,0.94922,1.05952,0.00181093,0.00181093,0.00181093
82,2214.27,0.01435,1.44408,1.27593,0.77349,0.95258,0.94324,0.73222,0.01209,0.92323,1.03997,0.00180633,0.00180633,0.00180633
83,2241.08,0.01404,1.44878,1.25476,0.78359,0.94227,0.94367,0.76763,0.01008,0.91771,0.97646,0.00180169,0.00180169,0.00180169
84,2267.91,0.01414,1.47749,1.26161,0.78264,0.94021,0.94212,0.725,0.01197,0.92304,1.02859,0.00179699,0.00179699,0.00179699
85,2294.77,0.01421,1.45189,1.25046,0.8078,0.91546,0.94658,0.75044,0.01111,0.88933,1.01415,0.00179225,0.00179225,0.00179225
86,2321.55,0.01381,1.42162,1.2405,0.79479,0.93432,0.95203,0.73923,0.01186,0.8899,1.03752,0.00178746,0.00178746,0.00178746
87,2348.27,0.01381,1.41133,1.24451,0.76226,0.9732,0.93846,0.76091,0.01035,0.87528,0.9908,0.00178263,0.00178263,0.00178263
88,2374.97,0.01421,1.42852,1.25222,0.78359,0.9567,0.954,0.72345,0.01329,0.89028,1.06727,0.00177774,0.00177774,0.00177774
89,2401.81,0.01388,1.37368,1.23837,0.81656,0.92698,0.95525,0.74132,0.01235,0.85241,1.02872,0.00177281,0.00177281,0.00177281
90,2428.53,0.01378,1.39959,1.24212,0.81216,0.93607,0.95017,0.74036,0.01136,0.86058,1.00539,0.00176783,0.00176783,0.00176783
91,2455.46,0.01395,1.40955,1.24863,0.7688,0.94845,0.94596,0.75645,0.01022,0.87789,0.98517,0.0017628,0.0017628,0.0017628
92,2482.33,0.01338,1.39523,1.2244,0.80835,0.93921,0.95372,0.75525,0.01096,0.86751,0.99729,0.00175773,0.00175773,0.00175773
93,2509.17,0.01382,1.39978,1.24281,0.78536,0.95052,0.94856,0.77463,0.00988,0.82795,0.98256,0.00175261,0.00175261,0.00175261
94,2536.01,0.01355,1.3612,1.22186,0.76675,0.98144,0.9496,0.71584,0.01318,0.90445,1.08248,0.00174745,0.00174745,0.00174745
95,2562.7,0.01365,1.37421,1.23167,0.78734,0.97732,0.95441,0.78442,0.00998,0.81367,0.96498,0.00174223,0.00174223,0.00174223
96,2589.51,0.01322,1.32501,1.20903,0.83751,0.92577,0.95882,0.75675,0.0112,0.83198,1.01122,0.00173698,0.00173698,0.00173698
97,2616.32,0.01376,1.39441,1.23544,0.884,0.89897,0.96652,0.7704,0.01065,0.79872,0.99478,0.00173168,0.00173168,0.00173168
98,2643.16,0.01378,1.38543,1.24143,0.78341,0.9732,0.95142,0.79376,0.00974,0.8124,0.95481,0.00172633,0.00172633,0.00172633
99,2670.06,0.0133,1.36453,1.20938,0.80242,0.95258,0.95608,0.76733,0.01032,0.82462,0.97928,0.00172095,0.00172095,0.00172095
100,2696.84,0.0133,1.34354,1.21264,0.79334,0.96565,0.95502,0.744,0.01209,0.86591,1.04014,0.00171551,0.00171551,0.00171551
101,2723.47,0.0129,1.29109,1.18949,0.82466,0.94021,0.96163,0.80367,0.00916,0.77894,0.93914,0.00171004,0.00171004,0.00171004
102,2750.25,0.01299,1.31417,1.19883,0.76499,0.98763,0.95277,0.76271,0.01075,0.83461,0.99104,0.00170452,0.00170452,0.00170452
103,2776.96,0.01322,1.34633,1.21013,0.79099,0.96495,0.95639,0.79543,0.00958,0.78983,0.95672,0.00169895,0.00169895,0.00169895
104,2803.82,0.01334,1.30809,1.21117,0.82549,0.92784,0.95861,0.77383,0.01049,0.81032,0.98988,0.00169335,0.00169335,0.00169335
105,2830.75,0.01343,1.32711,1.21356,0.80275,0.96498,0.96002,0.77802,0.01018,0.79054,0.97574,0.0016877,0.0016877,0.0016877
106,2857.49,0.0131,1.32168,1.20776,0.79416,0.9732,0.95662,0.77668,0.01034,0.83586,0.97422,0.00168201,0.00168201,0.00168201
107,2884.23,0.01311,1.30438,1.19791,0.78704,0.94227,0.95023,0.78754,0.0098,0.81292,0.9671,0.00167628,0.00167628,0.00167628
108,2910.94,0.0129,1.28001,1.18677,0.7996,0.96252,0.95723,0.77894,0.01018,0.77608,0.97186,0.00167051,0.00167051,0.00167051
109,2937.76,0.01311,1.32072,1.20515,0.85648,0.94227,0.96808,0.79513,0.01006,0.80705,0.97239,0.0016647,0.0016647,0.0016647
110,2964.63,0.01345,1.32124,1.22151,0.80944,0.91962,0.95252,0.77411,0.01079,0.82636,0.98092,0.00165885,0.00165885,0.00165885
111,2991.4,0.01326,1.29927,1.19814,0.85785,0.92075,0.96038,0.78315,0.01008,0.76932,0.96897,0.00165295,0.00165295,0.00165295
112,3018.22,0.0129,1.34103,1.19109,0.82571,0.91823,0.96065,0.78343,0.01021,0.77355,0.9752,0.00164702,0.00164702,0.00164702
113,3045.08,0.01296,1.3081,1.20239,0.77433,0.97938,0.9518,0.76317,0.01092,0.82302,0.98263,0.00164105,0.00164105,0.00164105
114,3071.9,0.01318,1.33166,1.20352,0.80169,0.94187,0.95699,0.79645,0.00959,0.7572,0.94118,0.00163504,0.00163504,0.00163504
115,3098.65,0.013,1.25706,1.1992,0.7792,0.98763,0.95382,0.78968,0.00963,0.76526,0.95336,0.00162899,0.00162899,0.00162899
116,3125.49,0.01312,1.32606,1.20389,0.77615,0.97732,0.95583,0.79597,0.00942,0.77735,0.93895,0.0016229,0.0016229,0.0016229
117,3152.3,0.01282,1.33717,1.19369,0.88147,0.88934,0.96735,0.79438,0.0098,0.74292,0.95079,0.00161678,0.00161678,0.00161678
118,3179.06,0.01266,1.25066,1.17787,0.80532,0.94433,0.9599,0.78795,0.01006,0.75126,0.95888,0.00161062,0.00161062,0.00161062
119,3205.86,0.01259,1.27927,1.1924,0.78702,0.97526,0.95882,0.77195,0.01085,0.78249,0.97822,0.00160442,0.00160442,0.00160442
120,3232.56,0.01241,1.22976,1.16091,0.78755,0.98351,0.95868,0.78688,0.00952,0.75627,0.94957,0.00159818,0.00159818,0.00159818
121,3259.37,0.01263,1.25022,1.18116,0.78207,0.98351,0.95878,0.78888,0.00996,0.75287,0.94937,0.00159191,0.00159191,0.00159191
122,3286.2,0.01282,1.26287,1.18501,0.78548,0.98557,0.95292,0.77743,0.00982,0.76492,0.96138,0.0015856,0.0015856,0.0015856
123,3312.91,0.01256,1.24228,1.17308,0.81475,0.95218,0.96497,0.77996,0.01051,0.74734,0.97811,0.00157926,0.00157926,0.00157926
124,3339.74,0.01278,1.26885,1.18353,0.80069,0.97732,0.96073,0.80807,0.00919,0.72817,0.93335,0.00157288,0.00157288,0.00157288
125,3366.55,0.01267,1.28368,1.17747,0.78377,0.98144,0.95608,0.77819,0.01022,0.75697,0.96381,0.00156646,0.00156646,0.00156646
126,3393.35,0.01248,1.24307,1.16994,0.77469,0.98543,0.95724,0.78878,0.0099,0.75781,0.94703,0.00156001,0.00156001,0.00156001
127,3420.11,0.01254,1.23014,1.17581,0.80021,0.99588,0.96101,0.82226,0.00876,0.70165,0.90975,0.00155353,0.00155353,0.00155353
128,3446.91,0.01272,1.25636,1.18363,0.81914,0.96701,0.96322,0.81364,0.00879,0.70441,0.91972,0.00154702,0.00154702,0.00154702
